Episode 3494, Reward: -33.73, Step: 23044
Episode 3495, Reward: -29.91, Step: 23052
Episode 3496, Reward: -34.40, Step: 23061
Episode 3497, Reward: -29.12, Step: 23072
Episode 3498, Reward: -33.48, Step: 23078
Episode 3499, Reward: -31.23, Step: 23084
Episode 3500, Reward: -32.58, Step: 23093
Episode 3501, Reward: -30.42, Step: 23099
Episode 3502, Reward: -30.66, Step: 23110
Episode 3503, Reward: -28.90, Step: 23123
Episode 3504, Reward: -32.39, Step: 23131
Episode 3505, Reward: -29.40, Step: 23142
Episode 3506, Reward: -29.67, Step: 23157
Episode 3507, Reward: -21.74, Step: 23173
Episode 3508, Reward: -33.04, Step: 23179
Episode 3509, Reward: -34.46, Step: 23186
Episode 3510, Reward: -36.16, Step: 23192
Episode 3511, Reward: -25.17, Step: 23208
Episode 3512, Reward: -32.07, Step: 23214
Episode 3513, Reward: -30.06, Step: 23223
Episode 3514, Reward: -36.23, Step: 23233
Episode 3515, Reward: -33.34, Step: 23241
Episode 3516, Reward: -32.42, Step: 23255
Episode 3517, Reward: -32.36, Step: 23264
Episode 3518, Reward: -30.42, Step: 23272
Episode 3519, Reward: -24.33, Step: 23287
Episode 3520, Reward: -33.90, Step: 23294
Episode 3521, Reward: -26.82, Step: 23309
Episode 3522, Reward: -29.10, Step: 23317
Episode 3523, Reward: -28.61, Step: 23324
Episode 3524, Reward: -32.48, Step: 23333
Episode 3525, Reward: -28.89, Step: 23343
Episode 3526, Reward: -33.10, Step: 23350
Episode 3527, Reward: -33.13, Step: 23354
Episode 3528, Reward: -34.43, Step: 23359
Episode 3529, Reward: -31.51, Step: 23365
Episode 3530, Reward: -30.57, Step: 23372
Episode 3531, Reward: -33.25, Step: 23378
Episode 3532, Reward: -33.35, Step: 23387
Episode 3533, Reward: -27.53, Step: 23396
Episode 3534, Reward: -30.01, Step: 23403
Episode 3535, Reward: -30.94, Step: 23409
Episode 3536, Reward: -42.71, Step: 23424
Episode 3537, Reward: -30.62, Step: 23432
Episode 3538, Reward: -29.71, Step: 23445
Episode 3539, Reward: -29.29, Step: 23459
Episode 3540, Reward: -33.87, Step: 23464
Episode 3541, Reward: -34.60, Step: 23474
Episode 3542, Reward: -37.08, Step: 23483
Episode 3543, Reward: -28.39, Step: 23492
Episode 3544, Reward: -31.78, Step: 23498
Episode 3545, Reward: -35.27, Step: 23506
Episode 3546, Reward: -39.54, Step: 23515
Episode 3547, Reward: -33.83, Step: 23522
Episode 3548, Reward: -31.40, Step: 23531
Episode 3549, Reward: -57.34, Step: 23538
Episode 3550, Reward: -32.45, Step: 23548
Episode 3551, Reward: -32.84, Step: 23556
Episode 3552, Reward: -25.32, Step: 23573
Episode 3553, Reward: -31.78, Step: 23584
Episode 3554, Reward: -39.68, Step: 23590
Episode 3555, Reward: -36.38, Step: 23600
Episode 3556, Reward: -36.30, Step: 23608
Episode 3557, Reward: -34.13, Step: 23619
Episode 3558, Reward: -29.29, Step: 23629
Episode 3559, Reward: -31.79, Step: 23635
Episode 3560, Reward: -55.24, Step: 23642
Episode 3561, Reward: -55.52, Step: 23657
Episode 3562, Reward: -32.97, Step: 23668
Episode 3563, Reward: -30.49, Step: 23677
Episode 3564, Reward: -38.61, Step: 23684
Episode 3565, Reward: -56.16, Step: 23692
Episode 3566, Reward: -33.91, Step: 23702
Episode 3567, Reward: -35.10, Step: 23714
Episode 3568, Reward: -54.71, Step: 23721
Episode 3569, Reward: -34.18, Step: 23727
